Name	Position	Preferred foot	Nation	League	Team	Gender
Roberto Firmino	CAM	Right	Brazil	ROSHN Saudi League	Al Ahli	Male
Bradley Barcola	LW	Right	France	Ligue 1 McDonald's	Paris SG	Male
Harvey Barnes	LW	Right	England	Premier League	Newcastle Utd	Male
Christoph Baumgartner	CAM	Right	Austria	Bundesliga	RB Leipzig	Male
Walter Benítez	GK	Right	Argentina	Eredivisie	PSV	Male
Gonçalo Inácio	CB	Left	Portugal	Liga Portugal	Sporting CP	Male
Yves Bissouma	CDM	Right	Mali	Premier League	Spurs	Male
Daley Blind	CB	Left	Holland	LALIGA EA SPORTS	Girona FC	Male
Denis Bouanga	LW	Right	Gabon	MLS	LAFC	Male
Yan Couto	RM	Right	Brazil	Bundesliga	Borussia Dortmund	Male
Alessandro Buongiorno	CB	Left	Italy	Serie A Enilive	SSC Napoli	Male
Davide Calabria	RB	Right	Italy	Serie A Enilive	Milano FC	Male
Lucas Chevalier	GK	Right	France	Ligue 1 McDonald's	LOSC Lille	Male
Samuel Chukwueze	RW	Left	Nigeria	Serie A Enilive	Milano FC	Male
Jonathan Clauss	RB	Right	France	Ligue 1 McDonald's	OGC Nice	Male
Kevin Danso	CB	Right	Austria	Ligue 1 McDonald's	RC Lens	Male
Evanilson	ST	Right	Brazil	Premier League	AFC Bournemouth	Male
De Marcos	RB	Right	Spain	LALIGA EA SPORTS	Athletic Club	Male
Michele Di Gregorio	GK	Right	Italy	Serie A Enilive	Juventus	Male
Eric Dier	CB	Right	England	Bundesliga	FC Bayern München	Male
Jérémy Doku	LW	Right	Belgium	Premier League	Manchester City	Male
Éderson	CM	Right	Brazil	Serie A Enilive	Bergamo Calcio	Male
Wataru Endo	CDM	Right	Japan	Premier League	Liverpool	Male
Pervis Estupiñán	LB	Left	Ecuador	Premier League	Brighton	Male
Wladimiro Falcone	GK	Right	Italy	Serie A Enilive	Lecce	Male
João Félix	LW	Right	Portugal	Premier League	Chelsea	Male
Suso	RM	Left	Spain	LALIGA EA SPORTS	Sevilla FC	Male
Seko Fofana	CM	Right	Côte d'Ivoire	ROSHN Saudi League	Ettifaq FC	Male
Juan Foyth	RB	Right	Argentina	LALIGA EA SPORTS	Villarreal CF	Male
Javi Galán	LB	Left	Spain	LALIGA EA SPORTS	Atlético de Madrid	Male
Pepelu	CM	Right	Spain	LALIGA EA SPORTS	Valencia CF	Male
Nuno Santos	LM	Left	Portugal	Liga Portugal	Sporting CP	Male
Joe Gomez	CB	Right	England	Premier League	Liverpool	Male
Nicolás González	RW	Left	Argentina	Serie A Enilive	Juventus	Male
Mario Götze	CAM	Right	Germany	Bundesliga	Frankfurt	Male
Vincenzo Grifo	LM	Right	Italy	Bundesliga	SC Freiburg	Male
Nemanja Gudelj	CB	Right	Serbia	LALIGA EA SPORTS	Sevilla FC	Male
Albert Guðmundsson	ST	Right	Iceland	Serie A Enilive	Fiorentina	Male
Mattéo Guendouzi	CM	Right	France	Serie A Enilive	Latium	Male
Malo Gusto	RB	Right	France	Premier League	Chelsea	Male
Miguel Gutiérrez	LB	Left	Spain	LALIGA EA SPORTS	Girona FC	Male
Amadou Haidara	CM	Right	Mali	Bundesliga	RB Leipzig	Male
Danilo Pereira	CB	Right	Portugal	ROSHN Saudi League	Al Ittihad	Male
Jordan Henderson	CDM	Right	England	Eredivisie	Ajax	Male
Morten Hjulmand	CDM	Right	Denmark	Liga Portugal	Sporting CP	Male
Pierre-Emile Højbjerg	CDM	Right	Denmark	Ligue 1 McDonald's	OM	Male
Ibañez	CB	Right	Brazil	ROSHN Saudi League	Al Ahli	Male
Bento	GK	Right	Brazil	ROSHN Saudi League	Al Nassr	Male
Thomas Lemar	CM	Left	France	LALIGA EA SPORTS	Atlético de Madrid	Male
Dominik Livaković	GK	Right	Croatia	Trendyol Süper Lig	Fenerbahçe	Male
Giovani Lo Celso	CAM	Left	Argentina	LALIGA EA SPORTS	Real Betis	Male
David López	CB	Right	Spain	LALIGA EA SPORTS	Girona FC	Male
Harry Maguire	CB	Right	England	Premier League	Man Utd	Male
Reinildo	LB	Left	Mozambique	LALIGA EA SPORTS	Atlético de Madrid	Male
Iván Martín	CAM	Left	Spain	LALIGA EA SPORTS	Girona FC	Male
Nemanja Matić	CDM	Left	Serbia	Ligue 1 McDonald's	OL	Male
Bryan Mbeumo	RW	Left	Cameroon	Premier League	Brentford	Male
Facundo Medina	CB	Left	Argentina	Ligue 1 McDonald's	RC Lens	Male
Édouard Mendy	GK	Right	Senegal	ROSHN Saudi League	Al Ahli	Male
Dries Mertens	CAM	Right	Belgium	Trendyol Süper Lig	Galatasaray	Male
Daniel Muñoz	RB	Right	Colombia	Premier League	Crystal Palace	Male
Vedat Muriqi	ST	Left	Kosovo	LALIGA EA SPORTS	RCD Mallorca	Male
João Mário	LM	Right	Portugal	Liga Portugal	SL Benfica	Male
Jesús Navas	RB	Right	Spain	LALIGA EA SPORTS	Sevilla FC	Male
David Neres	LM	Left	Brazil	Serie A Enilive	SSC Napoli	Male
Alexander Nübel	GK	Right	Germany	Bundesliga	VfB Stuttgart	Male
Mario Pašalić	CM	Right	Croatia	Serie A Enilive	Bergamo Calcio	Male
Vangelis Pavlidis	ST	Right	Greece	Liga Portugal	SL Benfica	Male
Matteo Politano	RW	Left	Italy	Serie A Enilive	SSC Napoli	Male
Ivan Rakitić	CM	Right	Croatia	Liga Hrvatska	Hajduk Split	Male
Amir Rrahmani	CB	Right	Kosovo	Serie A Enilive	SSC Napoli	Male
Ruiz de Galarreta	CDM	Right	Spain	LALIGA EA SPORTS	Athletic Club	Male
Allan Saint-Maximin	LM	Right	France	Trendyol Süper Lig	Fenerbahçe	Male
Davinson Sánchez	CB	Right	Colombia	Trendyol Süper Lig	Galatasaray	Male
Diego Carlos	CB	Right	Brazil	Premier League	Aston Villa	Male
Téji Savanier	CAM	Right	France	Ligue 1 McDonald's	Montpellier	Male
Kasper Schmeichel	GK	Right	Denmark	Scottish Prem	Celtic	Male
William Carvalho	CDM	Right	Portugal	LALIGA EA SPORTS	Real Betis	Male
Mohamed Simakan	CB	Right	France	ROSHN Saudi League	Al Nassr	Male
Sebastian Szymański	CAM	Left	Poland	Trendyol Süper Lig	Fenerbahçe	Male
Mehdi Taremi	ST	Right	Iran	Serie A Enilive	Lombardia FC	Male
James Tarkowski	CB	Right	England	Premier League	Everton	Male
Jean-Clair Todibo	CB	Right	France	Premier League	West Ham	Male
Ivan Toney	ST	Right	England	Premier League	Brentford	Male
Ferran Torres	LW	Right	Spain	LALIGA EA SPORTS	FC Barcelona	Male
Hamari Traoré	RB	Right	Mali	LALIGA EA SPORTS	Real Sociedad	Male
Lars Unnerstall	GK	Right	Germany	Eredivisie	FC Twente	Male
André Silva	ST	Right	Portugal	Bundesliga	RB Leipzig	Male
Hans Vanaken	CAM	Right	Belgium	1A Pro League	Club Brugge	Male
Jordan Veretout	CM	Right	France	Ligue 1 McDonald's	OM	Male
Timo Werner	LM	Right	Germany	Premier League	Spurs	Male
Mats Wieffer	CDM	Right	Holland	Premier League	Brighton	Male
Axel Witsel	CB	Right	Belgium	LALIGA EA SPORTS	Atlético de Madrid	Male
Barış Alper Yılmaz	RM	Right	Turkey	Trendyol Süper Lig	Galatasaray	Male
Warren Zaïre-Emery	CM	Right	France	Ligue 1 McDonald's	Paris SG	Male
André-Franck Zambo Anguissa	CDM	Right	Cameroon	Serie A Enilive	SSC Napoli	Male
Lucas Zelarayán	CAM	Right	Armenia	ROSHN Saudi League	Al Fateh	Male
Hakim Ziyech	RM	Left	Morocco	Trendyol Süper Lig	Galatasaray	Male
Zubeldia	CB	Right	Spain	LALIGA EA SPORTS	Real Sociedad	Male
Karim Adeyemi	LM	Left	Germany	Bundesliga	Borussia Dortmund	Male
Nayef Aguerd	CB	Left	Morocco	LALIGA EA SPORTS	Real Sociedad	Male
Rayan Aït-Nouri	LB	Left	Algeria	Premier League	Wolves	Male
Raúl Albiol	CB	Right	Spain	LALIGA EA SPORTS	Villarreal CF	Male
Kepa	GK	Right	Spain	Premier League	AFC Bournemouth	Male
Emil Audero	GK	Right	Italy	Serie A Enilive	Como	Male
Ezequiel Ávila	ST	Right	Argentina	LALIGA EA SPORTS	Real Betis	Male
Azpilicueta	CB	Right	Spain	LALIGA EA SPORTS	Atlético de Madrid	Male
Álex Baena	LM	Right	Spain	LALIGA EA SPORTS	Villarreal CF	Male
Alexander Bah	RB	Right	Denmark	Liga Portugal	SL Benfica	Male
Johan Bakayoko	RW	Left	Belgium	Eredivisie	PSV	Male
Leonardo Balerdi	CB	Right	Argentina	Ligue 1 McDonald's	OM	Male
Éver Banega	CM	Right	Argentina	Primera División	Newell's	Male
Abdülkerim Bardakcı	CB	Left	Turkey	Trendyol Süper Lig	Galatasaray	Male
Yuri Berchiche	LB	Left	Spain	LALIGA EA SPORTS	Athletic Club	Male
Steven Berghuis	RW	Left	Holland	Eredivisie	Ajax	Male
Steven Bergwijn	LW	Right	Holland	ROSHN Saudi League	Al Ittihad	Male
Cristiano Biraghi	LB	Left	Italy	Serie A Enilive	Fiorentina	Male
Marco Bizot	GK	Right	Holland	Ligue 1 McDonald's	Stade Brestois 29	Male
Sacha Boey	RB	Right	France	Bundesliga	FC Bayern München	Male
Giacomo Bonaventura	CAM	Right	Italy	ROSHN Saudi League	Al Shabab	Male
Jarrad Branthwaite	CB	Left	England	Premier League	Everton	Male
Brian Brobbey	ST	Right	Holland	Eredivisie	Ajax	Male
Marcin Bułka	GK	Right	Poland	Ligue 1 McDonald's	OGC Nice	Male
Matheus Cunha	ST	Right	Brazil	Premier League	Wolves	Male
Matty Cash	RB	Right	Poland	Premier League	Aston Villa	Male
Valentin Castellanos	ST	Right	Argentina	Serie A Enilive	Latium	Male
Catena	CB	Right	Spain	LALIGA EA SPORTS	CA Osasuna	Male
Dani Ceballos	CM	Right	Spain	LALIGA EA SPORTS	Real Madrid	Male
Ben Chilwell	LB	Left	England	Premier League	Chelsea	Male
Jordy Clasie	CDM	Right	Holland	Eredivisie	AZ	Male
Dante	CB	Left	Brazil	Ligue 1 McDonald's	OGC Nice	Male
Charles De Ketelaere	CAM	Left	Belgium	Serie A Enilive	Bergamo Calcio	Male
Marten de Roon	CM	Right	Holland	Serie A Enilive	Bergamo Calcio	Male
Romain Del Castillo	RW	Left	France	Ligue 1 McDonald's	Stade Brestois 29	Male
Ermedin Demirović	ST	Right	Bosnia and Herzegovina	Bundesliga	VfB Stuttgart	Male
Sergiño Dest	LB	Right	United States	Eredivisie	PSV	Male
Boulaye Dia	ST	Right	Senegal	Serie A Enilive	Latium	Male
Samuel Lino	LM	Right	Brazil	LALIGA EA SPORTS	Atlético de Madrid	Male
Lucas Digne	LB	Left	France	Premier League	Aston Villa	Male
Stole Dimitrievski	GK	Right	North Macedonia	LALIGA EA SPORTS	Valencia CF	Male
Axel Disasi	CB	Right	France	Premier League	Chelsea	Male
Alexander Djiku	CB	Right	Ghana	Trendyol Süper Lig	Fenerbahçe	Male
Cheick Doucouré	CDM	Right	Mali	Premier League	Crystal Palace	Male
Lewis Dunk	CB	Right	England	Premier League	Brighton	Male
Hugo Duro	ST	Left	Spain	LALIGA EA SPORTS	Valencia CF	Male
Marcus Edwards	RW	Left	England	Liga Portugal	Sporting CP	Male
Stephan El Shaarawy	LM	Right	Italy	Serie A Enilive	AS Roma	Male
Eljif Elmas	CAM	Right	North Macedonia	Bundesliga	RB Leipzig	Male
Aritz Elustondo	RB	Right	Spain	LALIGA EA SPORTS	Real Sociedad	Male
Lewis Ferguson	CM	Right	Scotland	Serie A Enilive	Bologna	Male
Mark Flekken	GK	Right	Holland	Premier League	Brentford	Male
Emil Forsberg	CAM	Right	Sweden	MLS	Red Bulls	Male
Chris Führich	LM	Right	Germany	Bundesliga	VfB Stuttgart	Male
Álvaro García	LM	Left	Spain	LALIGA EA SPORTS	Rayo Vallecano	Male
Alejandro Garnacho	LM	Right	Argentina	Premier League	Man Utd	Male
Lutsharel Geertruida	CB	Right	Holland	Bundesliga	RB Leipzig	Male
Morgan Gibbs-White	CAM	Right	England	Premier League	Nott'm Forest	Male
Carles Gil	CAM	Left	Spain	MLS	New England	Male
Santiago Giménez	ST	Left	Mexico	Eredivisie	Feyenoord	Male
Moi Gómez	CM	Right	Spain	LALIGA EA SPORTS	CA Osasuna	Male
João Neves	CM	Right	Portugal	Ligue 1 McDonald's	Paris SG	Male
Robin Gosens	LB	Left	Germany	Serie A Enilive	Fiorentina	Male
Mason Greenwood	RM	Left	England	Ligue 1 McDonald's	OM	Male
Guruzeta	ST	Right	Spain	LALIGA EA SPORTS	Athletic Club	Male
Sébastien Haller	ST	Right	Côte d'Ivoire	LALIGA EA SPORTS	CD Leganés	Male
Dean Henderson	GK	Right	England	Premier League	Crystal Palace	Male
Franck Honorat	RM	Right	France	Bundesliga	M'gladbach	Male
Hiroki Ito	CB	Left	Japan	Bundesliga	FC Bayern München	Male
Nicolas Jackson	ST	Right	Senegal	Premier League	Chelsea	Male
Curtis Jones	CM	Right	England	Premier League	Liverpool	Male
Luka Jović	ST	Right	Serbia	Serie A Enilive	Milano FC	Male
İrfan Can Kahveci	RW	Left	Turkey	Trendyol Süper Lig	Fenerbahçe	Male
Lukas Klostermann	CB	Right	Germany	Bundesliga	RB Leipzig	Male
Robin Koch	CB	Right	Germany	Bundesliga	Frankfurt	Male
Sead Kolašinac	CB	Left	Bosnia and Herzegovina	Serie A Enilive	Bergamo Calcio	Male
Geoffrey Kondogbia	CM	Left	Central African Republic	Ligue 1 McDonald's	OM	Male
Erik Lamela	RW	Left	Argentina	Hellas Liga	AEK Athens	Male
Noa Lang	LW	Right	Holland	Eredivisie	PSV	Male
Manuel Lazzari	RB	Right	Italy	Serie A Enilive	Latium	Male
Lee Kang In	CAM	Left	Korea Republic	Ligue 1 McDonald's	Paris SG	Male
Pierre Lees-Melou	CDM	Right	France	Ligue 1 McDonald's	Stade Brestois 29	Male
Mario Lemina	CDM	Right	Gabon	Premier League	Wolves	Male
Jefferson Lerma	CDM	Right	Colombia	Premier League	Crystal Palace	Male
Philipp Lienhart	CB	Right	Austria	Bundesliga	SC Freiburg	Male
Matheus	GK	Right	Brazil	Liga Portugal	SC Braga	Male
Hugo Lloris	GK	Left	France	MLS	LAFC	Male
Pedro Neto	RW	Left	Portugal	Premier League	Chelsea	Male
Anthony Lopes	GK	Left	Portugal	Ligue 1 McDonald's	OL	Male
Pau López	GK	Left	Spain	LALIGA EA SPORTS	Girona FC	Male
Castello Lukeba	CB	Left	France	Bundesliga	RB Leipzig	Male
Dodi Lukébakio	RW	Left	Belgium	LALIGA EA SPORTS	Sevilla FC	Male
Robert Sánchez	GK	Right	Spain	Premier League	Chelsea	Male
Ian Maatsen	LB	Left	Holland	Premier League	Aston Villa	Male
Pablo Maffeo	RB	Right	Argentina	LALIGA EA SPORTS	RCD Mallorca	Male
José Sá	GK	Right	Portugal	Premier League	Wolves	Male
Omar Marmoush	ST	Right	Egypt	Bundesliga	Frankfurt	Male
Arnau Martínez	RB	Right	Spain	LALIGA EA SPORTS	Girona FC	Male
Adam Marušić	LB	Right	Montenegro	Serie A Enilive	Latium	Male
Jean-Philippe Mateta	ST	Right	France	Premier League	Crystal Palace	Male
Borja Mayoral	ST	Right	Spain	LALIGA EA SPORTS	Getafe CF	Male
Chancel Mbemba	CB	Right	Congo DR	Ligue 1 McDonald's	OM	Male
Callum McGregor	CDM	Left	Scotland	Scottish Prem	Celtic	Male
Medrán	CM	Right	Spain	ROSHN Saudi League	Ettifaq FC	Male
Nikola Milenković	CB	Right	Serbia	Premier League	Nott'm Forest	Male
Takumi Minamino	CAM	Right	Japan	Ligue 1 McDonald's	AS Monaco	Male
Tyrone Mings	CB	Left	England	Premier League	Aston Villa	Male
Maximilian Mittelstädt	LB	Left	Germany	Bundesliga	VfB Stuttgart	Male
Álex Moreno	LB	Left	Spain	Premier League	Nott'm Forest	Male
Hidemasa Morita	CM	Right	Japan	Liga Portugal	Sporting CP	Male
Florentino	CDM	Right	Portugal	Liga Portugal	SL Benfica	Male
Hany Mukhtar	CAM	Right	Germany	MLS	Nashville SC	Male
Nordi Mukiele	RB	Right	France	Bundesliga	Leverkusen	Male
Juan Musso	GK	Right	Argentina	LALIGA EA SPORTS	Atlético de Madrid	Male
Galeno	LM	Right	Brazil	Liga Portugal	FC Porto	Male
Matt O'Riley	CM	Left	Denmark	Premier League	Brighton	Male
Jonas Omlin	GK	Right	Switzerland	Bundesliga	M'gladbach	Male
Ayoze Pérez	LM	Right	Spain	LALIGA EA SPORTS	Villarreal CF	Male
Mattia Perin	GK	Right	Italy	Serie A Enilive	Juventus	Male
Matteo Pessina	CM	Left	Italy	Serie A Enilive	Monza	Male
Đorđe Petrović	GK	Right	Serbia	Ligue 1 McDonald's	Strasbourg	Male
Ethan Pinnock	CB	Left	Jamaica	Premier League	Brentford	Male
Yeremy Pino	LM	Right	Spain	LALIGA EA SPORTS	Villarreal CF	Male
Soufiane Rahimi	LM	Right	Morocco	United Emirates League	Al Ain FC	Male
Gonçalo Ramos	ST	Right	Portugal	Ligue 1 McDonald's	Paris SG	Male
Antonee Robinson	LB	Left	United States	Premier League	Fulham	Male
Kaku	CAM	Left	Paraguay	United Emirates League	Al Ain FC	Male
Oriol Romeu	CDM	Right	Spain	LALIGA EA SPORTS	Girona FC	Male
Valentin Rongier	CDM	Right	France	Ligue 1 McDonald's	OM	Male
Frederik Rønnow	GK	Right	Denmark	Bundesliga	Union Berlin	Male
Gerónimo Rulli	GK	Right	Argentina	Ligue 1 McDonald's	OM	Male
Julian Ryerson	RB	Right	Norway	Bundesliga	Borussia Dortmund	Male
Pape Matar Sarr	CDM	Right	Senegal	Premier League	Spurs	Male
Gianluca Scamacca	ST	Right	Italy	Serie A Enilive	Bergamo Calcio	Male
Perr Schuurs	CB	Right	Holland	Serie A Enilive	Torino	Male
Benjamin Šeško	ST	Right	Slovenia	Bundesliga	RB Leipzig	Male
Mário Rui	LB	Left	Portugal	Serie A Enilive	SSC Napoli	Male
Wilfried Singo	CB	Right	Côte d'Ivoire	Ligue 1 McDonald's	AS Monaco	Male
Łukasz Skorupski	GK	Right	Poland	Serie A Enilive	Bologna	Male
Tomáš Souček	CDM	Right	Czech Republic	Premier League	West Ham	Male
Leonardo Spinazzola	LM	Right	Italy	Serie A Enilive	SSC Napoli	Male
António Silva	CB	Right	Portugal	Liga Portugal	SL Benfica	Male
Pietro Terracciano	GK	Right	Italy	Serie A Enilive	Fiorentina	Male
Martin Terrier	ST	Right	France	Bundesliga	Leverkusen	Male
Kieran Tierney	LB	Left	Scotland	Premier League	Arsenal	Male
Quinten Timber	CM	Right	Holland	Eredivisie	Feyenoord	Male
Jurriën Timber	CB	Right	Holland	Premier League	Arsenal	Male
Rafael Tolói	CB	Right	Italy	Serie A Enilive	Bergamo Calcio	Male
Edin Višća	RM	Right	Bosnia and Herzegovina	Trendyol Süper Lig	Trabzonspor	Male
Nikola Vlašić	CAM	Right	Croatia	Serie A Enilive	Torino	Male
Aaron Wan-Bissaka	RB	Right	England	Premier League	West Ham	Male
James Ward-Prowse	CM	Right	England	Premier League	Nott'm Forest	Male
Julian Weigl	CDM	Right	Germany	Bundesliga	M'gladbach	Male
Yoane Wissa	LW	Right	Congo DR	Premier League	Brentford	Male
Denis Zakaria	CDM	Right	Switzerland	Ligue 1 McDonald's	AS Monaco	Male
Davide Zappacosta	LB	Right	Italy	Serie A Enilive	Bergamo Calcio	Male
Edon Zhegrova	RM	Left	Kosovo	Ligue 1 McDonald's	LOSC Lille	Male
Oleksandr Zinchenko	LB	Left	Ukraine	Premier League	Arsenal	Male
Joshua Zirkzee	ST	Right	Holland	Premier League	Man Utd	Male
Carlos Augusto	LM	Left	Brazil	Serie A Enilive	Lombardia FC	Male
Saud Abdulhamid	RB	Right	Saudi Arabia	Serie A Enilive	AS Roma	Male
Tammy Abraham	ST	Right	England	Serie A Enilive	Milano FC	Male
Tosin Adarabioyo	CB	Right	England	Premier League	Chelsea	Male
Amine Adli	ST	Left	Morocco	Bundesliga	Leverkusen	Male
Joseph Aidoo	CB	Right	Ghana	LALIGA EA SPORTS	RC Celta	Male
Miguel Almirón	RW	Left	Paraguay	Premier League	Newcastle Utd	Male
Nadiem Amiri	CM	Right	Germany	Bundesliga	1. FSV Mainz 05	Male
Sofyan Amrabat	CDM	Right	Morocco	Trendyol Süper Lig	Fenerbahçe	Male
Michail Antonio	ST	Right	Jamaica	Premier League	West Ham	Male
Mauro Arambarri	CDM	Right	Uruguay	LALIGA EA SPORTS	Getafe CF	Male
Cristian Arango	ST	Right	Colombia	MLS	Real Salt Lake	Male
Benoît Badiashile	CB	Left	France	Premier League	Chelsea	Male
Antonín Barák	CM	Left	Czech Republic	Serie A Enilive	Fiorentina	Male
Ricardo Pereira	RB	Right	Portugal	Premier League	Leicester City	Male
Melvin Bard	LB	Left	France	Ligue 1 McDonald's	OGC Nice	Male
Ross Barkley	CM	Right	England	Premier League	Aston Villa	Male
Marc Bartra	CB	Right	Spain	LALIGA EA SPORTS	Real Betis	Male
Maximilian Beier	ST	Right	Germany	Bundesliga	Borussia Dortmund	Male
Andrea Belotti	ST	Right	Italy	Serie A Enilive	Como	Male
Fran Beltrán	CDM	Right	Spain	LALIGA EA SPORTS	RC Celta	Male
Saïd Benrahma	LW	Right	Algeria	Ligue 1 McDonald's	OL	Male
Ramy Bensebaini	LB	Left	Algeria	Bundesliga	Borussia Dortmund	Male
Nabil Bentaleb	CDM	Left	Algeria	Ligue 1 McDonald's	LOSC Lille	Male
Mergim Berisha	ST	Right	Germany	Bundesliga	TSG Hoffenheim	Male
Jan-Niklas Beste	LM	Left	Germany	Liga Portugal	SL Benfica	Male
Veljko Birmančević	RW	Right	Serbia	Česká Liga	Sparta Praha	Male
Olivier Boscagli	CB	Left	France	Eredivisie	PSV	Male
Lilian Brassier	CB	Left	France	Ligue 1 McDonald's	OM	Male
Ante Budimir	ST	Left	Croatia	LALIGA EA SPORTS	CA Osasuna	Male
Emiliano Buendía	RM	Right	Argentina	Premier League	Aston Villa	Male
Roman Bürki	GK	Right	Switzerland	MLS	St. Louis CITY SC	Male
Dan Burn	CB	Left	England	Premier League	Newcastle Utd	Male
Nélson Semedo	RB	Right	Portugal	Premier League	Wolves	Male
Riccardo Calafiori	CB	Left	Italy	Premier League	Arsenal	Male
Maxence Caqueret	CM	Right	France	Ligue 1 McDonald's	OL	Male
Daniel Podence	LM	Right	Portugal	ROSHN Saudi League	Al Shabab	Male
Trevoh Chalobah	CB	Right	England	Premier League	Crystal Palace	Male
Andrea Colpani	CAM	Left	Italy	Serie A Enilive	Fiorentina	Male
Murillo	CB	Left	Brazil	Premier League	Nott'm Forest	Male
Vladimír Coufal	RB	Right	Czech Republic	Premier League	West Ham	Male
Kerem Demirbay	CM	Left	Germany	Trendyol Süper Lig	Galatasaray	Male
Kiernan Dewsbury-Hall	CM	Left	England	Premier League	Chelsea	Male
Dénes Dibusz	GK	Right	Hungary	Magyar Liga	Ferencvárosi TC	Male
Ousmane Diomande	CB	Right	Côte d'Ivoire	Liga Portugal	Sporting CP	Male
Berat Djimsiti	CB	Right	Albania	Serie A Enilive	Bergamo Calcio	Male
Marko Dmitrović	GK	Left	Serbia	LALIGA EA SPORTS	CD Leganés	Male
Ritsu Doan	RM	Left	Japan	Bundesliga	SC Freiburg	Male
Danilho Doekhi	CB	Right	Holland	Bundesliga	Union Berlin	Male
Oscar Dorley	CDM	Left	Liberia	Česká Liga	Slavia Praha	Male
Oscar	CAM	Right	Brazil	CSL	Shanghai Port FC	Male
Ayoub El Kaabi	ST	Left	Morocco	Hellas Liga	Olympiacos FC	Male
Aschraf El Mahdioui	CDM	Right	Holland	ROSHN Saudi League	Al Taawoun	Male
Harvey Elliott	CAM	Left	England	Premier League	Liverpool	Male
Christian Eriksen	CM	Right	Denmark	Premier League	Man Utd	Male
Alfonso Espino	LB	Left	Uruguay	LALIGA EA SPORTS	Rayo Vallecano	Male
Lucas Perri	GK	Right	Brazil	Ligue 1 McDonald's	OL	Male
Francisco Conceição	RM	Left	Portugal	Serie A Enilive	Juventus	Male
Wesley Fofana	CB	Right	France	Premier League	Chelsea	Male
Przemysław Frankowski	RB	Right	Poland	Ligue 1 McDonald's	RC Lens	Male
Levi García	ST	Left	Trinidad and Tobago	Hellas Liga	AEK Athens	Male
Eric García	CB	Right	Spain	LALIGA EA SPORTS	FC Barcelona	Male
Rubén García	RM	Left	Spain	LALIGA EA SPORTS	CA Osasuna	Male
Fran García	LB	Left	Spain	LALIGA EA SPORTS	Real Madrid	Male
Federico Gatti	CB	Right	Italy	Serie A Enilive	Juventus	Male
Ryan Gauld	LW	Left	Scotland	MLS	Whitecaps FC	Male
João Gomes	CDM	Right	Brazil	Premier League	Wolves	Male
Campaña	CM	Right	Spain	LALIGA EA SPORTS	UD Las Palmas	Male
Ismaily	LB	Left	Brazil	Ligue 1 McDonald's	LOSC Lille	Male
Amine Gouiri	LM	Right	Algeria	Ligue 1 McDonald's	Stade Rennais FC	Male
Jonathan Gradit	CB	Right	France	Ligue 1 McDonald's	RC Lens	Male
Ryan Gravenberch	CM	Right	Holland	Premier League	Liverpool	Male
Michael Gregoritsch	ST	Left	Austria	Bundesliga	SC Freiburg	Male
Guaita	GK	Right	Spain	LALIGA EA SPORTS	RC Celta	Male
Arda Güler	CAM	Left	Turkey	LALIGA EA SPORTS	Real Madrid	Male
Christian Günter	LB	Left	Germany	Bundesliga	SC Freiburg	Male
Abderrazak Hamdallah	ST	Right	Morocco	ROSHN Saudi League	Al Shabab	Male
Lukáš Haraslín	LW	Right	Slovakia	Česká Liga	Sparta Praha	Male
Cucho Hernández	ST	Right	Colombia	MLS	Columbus Crew	Male
Héctor Herrera	CM	Right	Mexico	MLS	Houston Dynamo	Male
Ander Herrera	CM	Right	Spain	LALIGA EA SPORTS	Athletic Club	Male
Sergio Herrera	GK	Right	Spain	LALIGA EA SPORTS	CA Osasuna	Male
Isak Hien	CB	Right	Sweden	Serie A Enilive	Bergamo Calcio	Male
Andreas Pereira	CAM	Right	Brazil	Premier League	Fulham	Male
Rasmus Højlund	ST	Left	Denmark	Premier League	Man Utd	Male
Hwang Hee Chan	ST	Right	Korea Republic	Premier League	Wolves	Male
Borja Iglesias	ST	Right	Spain	LALIGA EA SPORTS	RC Celta	Male
Lorenzo Insigne	LW	Right	Italy	MLS	Toronto FC	Male
Junya Ito	RM	Right	Japan	Ligue 1 McDonald's	Stade de Reims	Male
Juanmi	LM	Right	Spain	LALIGA EA SPORTS	Real Betis	Male
Brennan Johnson	RM	Right	Wales	Premier League	Spurs	Male
Sam Johnstone	GK	Right	England	Premier League	Wolves	Male
Joan Jordán	CM	Right	Spain	LALIGA EA SPORTS	D. Alavés	Male
Pierre Kalulu	CB	Right	France	Serie A Enilive	Juventus	Male
