Name	Position	Preferred foot	Nation	League	Team	Gender
Fred	CDM	Left	Brazil	Trendyol Süper Lig	Fenerbahçe	Male
Eberechi Eze	CAM	Right	England	Premier League	Crystal Palace	Male
Youssouf Fofana	CDM	Right	France	Serie A Enilive	Milano FC	Male
Davide Frattesi	CM	Right	Italy	Serie A Enilive	Lombardia FC	Male
Remo Freuler	CDM	Right	Switzerland	Serie A Enilive	Bologna	Male
Conor Gallagher	CM	Right	England	LALIGA EA SPORTS	Atlético de Madrid	Male
Alexandr Golovin	LM	Right	Russia	Ligue 1 McDonald's	AS Monaco	Male
Pascal Groß	CDM	Right	Germany	Bundesliga	Borussia Dortmund	Male
Marc Guéhi	CB	Right	England	Premier League	Crystal Palace	Male
Dávid Hancko	CB	Left	Slovakia	Eredivisie	Feyenoord	Male
Benjamin Henrichs	RB	Right	Germany	Bundesliga	RB Leipzig	Male
Piero Hincapié	CB	Left	Ecuador	Bundesliga	Leverkusen	Male
Ferdi Kadıoğlu	LB	Right	Turkey	Premier League	Brighton	Male
Daichi Kamada	CAM	Right	Japan	Premier League	Crystal Palace	Male
Presnel Kimpembe	CB	Left	France	Ligue 1 McDonald's	Paris SG	Male
Orkun Kökçü	CM	Right	Turkey	Liga Portugal	SL Benfica	Male
Ezri Konsa	CB	Right	England	Premier League	Aston Villa	Male
Odilon Kossounou	CB	Right	Côte d'Ivoire	Serie A Enilive	Bergamo Calcio	Male
Andrej Kramarić	ST	Right	Croatia	Bundesliga	TSG Hoffenheim	Male
Takefusa Kubo	RW	Left	Japan	LALIGA EA SPORTS	Real Sociedad	Male
Ruben Loftus-Cheek	CM	Right	England	Serie A Enilive	Milano FC	Male
Andriy Lunin	GK	Right	Ukraine	LALIGA EA SPORTS	Real Madrid	Male
Iñigo Martínez	CB	Left	Spain	LALIGA EA SPORTS	FC Barcelona	Male
Noussair Mazraoui	RB	Right	Morocco	Premier League	Man Utd	Male
Brais Méndez	CM	Left	Spain	LALIGA EA SPORTS	Real Sociedad	Male
Alex Meret	GK	Left	Italy	Serie A Enilive	SSC Napoli	Male
Arkadiusz Milik	ST	Left	Poland	Serie A Enilive	Juventus	Male
Kaoru Mitoma	LM	Right	Japan	Premier League	Brighton	Male
Fernando Muslera	GK	Right	Uruguay	Trendyol Süper Lig	Galatasaray	Male
Riccardo Orsolini	RM	Left	Italy	Serie A Enilive	Bologna	Male
Stefan Ortega	GK	Right	Germany	Premier League	Manchester City	Male
Nicolás Otamendi	CB	Right	Argentina	Liga Portugal	SL Benfica	Male
Isi Palazón	RM	Left	Spain	LALIGA EA SPORTS	Rayo Vallecano	Male
Aaron Ramsdale	GK	Right	England	Premier League	Southampton	Male
Marcus Rashford	LM	Right	England	Premier League	Man Utd	Male
David Raum	LB	Left	Germany	Bundesliga	RB Leipzig	Male
Stefan Savić	CB	Right	Montenegro	Trendyol Süper Lig	Trabzonspor	Male
Xaver Schlager	CDM	Left	Austria	Bundesliga	RB Leipzig	Male
Jerdy Schouten	CDM	Right	Holland	Eredivisie	PSV	Male
Ellyes Skhiri	CDM	Right	Tunisia	Bundesliga	Frankfurt	Male
Milan Škriniar	CB	Right	Slovakia	Ligue 1 McDonald's	Paris SG	Male
Dominic Solanke	ST	Right	England	Premier League	Spurs	Male
David Soria	GK	Right	Spain	LALIGA EA SPORTS	Getafe CF	Male
Raheem Sterling	LM	Right	England	Premier League	Arsenal	Male
Dominik Szoboszlai	CAM	Right	Hungary	Premier League	Liverpool	Male
Youri Tielemans	CM	Right	Belgium	Premier League	Aston Villa	Male
Manuel Ugarte	CDM	Right	Uruguay	Premier League	Man Utd	Male
Deniz Undav	ST	Right	Germany	Bundesliga	VfB Stuttgart	Male
